数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/06/11,醋酸正丙酯,华东地区,华东,6400,6450,6425,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/10,醋酸正丙酯,华东地区,华东,6400,6450,6425,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/09,醋酸正丙酯,华东地区,华东,6400,6450,6425,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/08,醋酸正丙酯,华东地区,华东,6400,6450,6425,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/05,醋酸正丙酯,华东地区,华东,6400,6450,6425,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/04,醋酸正丙酯,华东地区,华东,6400,6450,6425,-50,-0.77%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/03,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/02,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/06/01,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/29,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/28,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/27,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/26,醋酸正丙酯,华东地区,华东,6450,6500,6475,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/25,醋酸正丙酯,华东地区,华东,6450,6500,6475,150,2.37%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/22,醋酸正丙酯,华东地区,华东,6300,6350,6325,-50,-0.78%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/21,醋酸正丙酯,华东地区,华东,6350,6400,6375,-50,-0.78%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/20,醋酸正丙酯,华东地区,华东,6400,6450,6425,-25,-0.39%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/19,醋酸正丙酯,华东地区,华东,6400,6500,6450,-100,-1.53%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/18,醋酸正丙酯,华东地区,华东,6500,6600,6550,-50,-0.76%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/15,醋酸正丙酯,华东地区,华东,6550,6650,6600,-50,-0.75%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/14,醋酸正丙酯,华东地区,华东,6600,6700,6650,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/13,醋酸正丙酯,华东地区,华东,6600,6700,6650,-75,-1.12%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/12,醋酸正丙酯,华东地区,华东,6700,6750,6725,-125,-1.82%,元/吨,,n_Propyl_Acetate_Domestic,3
2026/05/11,醋酸正丙酯,华东地区,华东,6800,6900,6850,0,0%,元/吨,,n_Propyl_Acetate_Domestic,3
