数据日期,产品名称,区域,市场,最低价,最高价,主流价,涨跌值,涨跌幅,单位,备注,product_eng,business_type
2026/07/10,邻二甲苯,华东地区,华东,,,7800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/09,邻二甲苯,华东地区,华东,,,7800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/08,邻二甲苯,华东地区,华东,,,7800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/07,邻二甲苯,华东地区,华东,,,7800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/06,邻二甲苯,华东地区,华东,,,7800,-400,-4.88%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/03,邻二甲苯,华东地区,华东,,,8200,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/02,邻二甲苯,华东地区,华东,,,8200,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/07/01,邻二甲苯,华东地区,华东,,,8200,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/30,邻二甲苯,华东地区,华东,,,8200,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/29,邻二甲苯,华东地区,华东,,,8200,-600,-6.82%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/26,邻二甲苯,华东地区,华东,,,8800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/25,邻二甲苯,华东地区,华东,,,8800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/24,邻二甲苯,华东地区,华东,,,8800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/23,邻二甲苯,华东地区,华东,,,8800,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/22,邻二甲苯,华东地区,华东,,,8800,-300,-3.3%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/18,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/17,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/16,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/15,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/12,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/11,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/10,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
2026/06/09,邻二甲苯,华东地区,华东,,,9100,0,0%,元/吨,厂提现汇,o_Xylene_Domestic,3
