Date,2_EHA_Domestic_华东,2_EHA_Domestic_华南,Acetic_Acid_Domestic_华北,Acetic_Acid_Domestic_华南,Acetic_Acid_Domestic_四川,Acetic_Acid_Domestic_宁波,Acetic_Acid_Domestic_山东,Acetic_Acid_Domestic_江苏,Acetic_Acid_Domestic_河南,Acetic_Acid_Domestic_湖北,Acetone_Domestic_华东,Acetone_Domestic_华北,Acetone_Domestic_华南,Acetone_Domestic_宁波,Acetone_Domestic_山东,Acetone_Domestic_江苏,Acetone_Domestic_黑龙江,Acrylic_Acid_Domestic_华东,Acrylic_Acid_Domestic_华北,Acrylic_Acid_Domestic_华南,Butyl_Acetate_Domestic_华东,Butyl_Acetate_Domestic_华北,Butyl_Acetate_Domestic_华南,Butyl_Acrylate_Domestic_华东,Butyl_Acrylate_Domestic_华北,Butyl_Acrylate_Domestic_华南,Ethanol_Domestic_东莞,Ethanol_Domestic_云南,Ethanol_Domestic_吉林,Ethanol_Domestic_四川,Ethanol_Domestic_安徽,Ethanol_Domestic_山东,Ethanol_Domestic_广东,Ethanol_Domestic_广西,Ethanol_Domestic_河北,Ethanol_Domestic_河南,Ethanol_Domestic_苏北,Ethanol_Domestic_苏南,Ethanol_Domestic_锦州,Ethanol_Domestic_黑龙江,Ethyl_Acetate_Domestic_华东,Ethyl_Acetate_Domestic_华北,Ethyl_Acetate_Domestic_华南,Ethyl_Acrylate_Domestic_华东,Ethylene_Domestic_华东,Ethylene_Domestic_山东,Isopropanol_Domestic_华南,Isopropanol_Domestic_山东,Isopropanol_Domestic_江苏,Isopropanol_Domestic_浙江,Isopropanol_Domestic_辽宁,MMA_Domestic_华东,MMA_Domestic_华南,MMA_Domestic_山东,Maleic_Anhydride_Domestic_华南,Maleic_Anhydride_Domestic_山东,Maleic_Anhydride_Domestic_山西,Maleic_Anhydride_Domestic_江苏,Maleic_Anhydride_Domestic_河北,Maleic_Anhydride_Domestic_河南,Maleic_Anhydride_Domestic_浙江,Maleic_Anhydride_Domestic_西北,Maleic_Anhydride_Domestic_鲁东,Methanol_Domestic_东营,Methanol_Domestic_临沂,Methanol_Domestic_云南中东部地区,Methanol_Domestic_内蒙古,Methanol_Domestic_唐山,Methanol_Domestic_四川,Methanol_Domestic_天津,Methanol_Domestic_山东中部,Methanol_Domestic_川渝,Methanol_Domestic_广东,Methanol_Domestic_广西,Methanol_Domestic_新疆北疆,Methanol_Domestic_新疆南疆,Methanol_Domestic_新疆疆外,Methanol_Domestic_昭通,Methanol_Domestic_格尔木,Methanol_Domestic_榆林,Methanol_Domestic_河北,Methanol_Domestic_济宁,Methanol_Domestic_淄博,Methanol_Domestic_甘肃,Methanol_Domestic_福建,Methanol_Domestic_贵州,Methanol_Domestic_鄂尔多斯北线,Methanol_Domestic_鄂尔多斯南线,Methanol_Domestic_重庆,Methanol_Domestic_银川,Methanol_Domestic_陕西关中,Octanol_Domestic_东北,Octanol_Domestic_华东,Octanol_Domestic_山东,Octanol_Domestic_江苏,Phthalic_Anhydride_Domestic_华东,Phthalic_Anhydride_Domestic_华北,Phthalic_Anhydride_Domestic_华南,Phthalic_Anhydride_Domestic_山东,Phthalic_Anhydride_Domestic_广东,Phthalic_Anhydride_Domestic_河北,Propylene_Domestic_东北,Propylene_Domestic_东营,Propylene_Domestic_华东,Propylene_Domestic_华南,Propylene_Domestic_山东,Propylene_Domestic_浙江宁波,Propylene_Domestic_淄博,Propylene_Domestic_苏南,Propylene_Domestic_西北,Propylene_Domestic_西南,Propylene_Domestic_连云港,Propylene_Domestic_鲁西南,Propylene_Domestic_黄海西岸,VAM_Domestic_华东,VAM_Domestic_华中,VAM_Domestic_华北,VAM_Domestic_华南,VAM_Domestic_山东,VAM_Domestic_江苏,n-Butanol_Domestic_东北,n-Butanol_Domestic_华东,n-Butanol_Domestic_华南,n-Butanol_Domestic_山东,n-Butanol_Domestic_河南,n-Propanol_Domestic_华东,n_Propyl_Acetate_Domestic_华东,o_Xylene_Domestic_华东,o_Xylene_Domestic_华南
2022-11-01,10550.0,10550.0,3325.0,3325.0,3250.0,3250.0,3225.0,3175.0,3215.0,,,5850.0,5750.0,5400.0,5850.0,5400.0,,7950.0,6650.0,6800.0,7350.0,7075.0,7425.0,8650.0,,8750.0,7200.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7100.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6950.0,10700.0,,,7350.0,6750.0,6950.0,6950.0,,10850.0,11400.0,10550.0,6950.0,6450.0,,6675.0,,,,7000.0,,2785.0,2780.0,2715.0,2305.0,2750.0,2805.0,,2900.0,2700.0,2800.0,2800.0,1975.0,,1700.0,2735.0,2290.0,2325.0,2630.0,2700.0,2795.0,2430.0,2845.0,2815.0,2305.0,2310.0,2780.0,2300.0,2500.0,9200.0,,9200.0,9350.0,8750.0,9000.0,8900.0,9100.0,,8200.0,6700.0,6990.0,7125.0,7025.0,6990.0,7125.0,6990.0,7175.0,6450.0,,6900.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7400.0,7500.0,7750.0,7300.0,,8500.0,,9300.0,9300.0
2022-11-02,10550.0,10550.0,3325.0,3325.0,3250.0,3250.0,3225.0,3175.0,3215.0,,,5825.0,5800.0,5475.0,5825.0,5475.0,,7950.0,6650.0,6800.0,7450.0,7175.0,7575.0,8650.0,,8750.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6950.0,10400.0,,,7300.0,6650.0,6900.0,6900.0,,10850.0,11400.0,10550.0,6875.0,6425.0,,6600.0,,,,6700.0,,2785.0,2790.0,2525.0,2315.0,2750.0,2775.0,,2900.0,2700.0,2800.0,2800.0,1975.0,,1700.0,2735.0,2290.0,2355.0,2600.0,2710.0,2795.0,2430.0,2850.0,2775.0,2325.0,2310.0,2780.0,2290.0,2500.0,9400.0,,9400.0,9550.0,8800.0,8900.0,8800.0,9000.0,,8300.0,6700.0,6975.0,7075.0,7025.0,6975.0,7075.0,6950.0,7175.0,6450.0,,6925.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7600.0,7850.0,8150.0,7700.0,,8500.0,,9300.0,9300.0
2022-11-03,10550.0,10550.0,3325.0,3325.0,3250.0,3250.0,3225.0,3175.0,3215.0,,,5825.0,5700.0,5425.0,5825.0,5425.0,,7700.0,6650.0,6800.0,7450.0,7325.0,7725.0,8750.0,,8850.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6925.0,10400.0,,,7150.0,6650.0,6900.0,6800.0,,10850.0,11500.0,10550.0,6825.0,6325.0,,6575.0,,,,6700.0,,2785.0,2855.0,2525.0,2325.0,2750.0,2775.0,,2900.0,2700.0,2800.0,2800.0,1925.0,,1700.0,2735.0,2290.0,2355.0,2650.0,2775.0,2795.0,2430.0,2885.0,2775.0,2350.0,2310.0,2780.0,2300.0,2520.0,9500.0,,9550.0,9700.0,8850.0,8900.0,8800.0,8950.0,,8400.0,6650.0,6950.0,7050.0,7025.0,6950.0,7050.0,6950.0,7200.0,6400.0,,6975.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7900.0,8050.0,8250.0,8000.0,,8500.0,,9300.0,9300.0
2022-11-04,10550.0,10550.0,3325.0,3325.0,3225.0,3250.0,3225.0,3150.0,3215.0,,,5825.0,5700.0,5475.0,5825.0,5475.0,,7700.0,6650.0,6800.0,7450.0,7275.0,7675.0,8750.0,,8850.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6900.0,10400.0,,,7150.0,6650.0,6900.0,6800.0,,10700.0,11500.0,10450.0,6825.0,6325.0,,6575.0,,,,6700.0,,2825.0,2900.0,2525.0,2325.0,2750.0,2775.0,,2900.0,2700.0,2840.0,2800.0,1925.0,,1700.0,2735.0,2290.0,2355.0,2650.0,2825.0,2840.0,2430.0,2910.0,2775.0,2350.0,2310.0,2780.0,2320.0,2520.0,9500.0,,9550.0,9650.0,8900.0,8900.0,8850.0,8950.0,,8400.0,6650.0,6950.0,7025.0,7025.0,6950.0,7025.0,6950.0,7200.0,6400.0,,6975.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7900.0,8050.0,8250.0,7950.0,,8500.0,,9300.0,9300.0
2022-11-05,10550.0,10550.0,3325.0,3325.0,3225.0,3250.0,3225.0,3150.0,3215.0,,,5825.0,5700.0,5475.0,5825.0,5475.0,,7700.0,6650.0,6800.0,7450.0,7275.0,7675.0,8750.0,,8850.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6900.0,10400.0,,,7150.0,6650.0,6900.0,6800.0,,10700.0,11500.0,10450.0,6825.0,6325.0,,6575.0,,,,6700.0,,2825.0,2900.0,2525.0,2325.0,2750.0,2775.0,,2900.0,2700.0,2840.0,2800.0,1925.0,,1700.0,2735.0,2290.0,2355.0,2650.0,2825.0,2840.0,2430.0,2910.0,2775.0,2350.0,2310.0,2780.0,2320.0,2520.0,9500.0,,9550.0,9650.0,8900.0,8900.0,8850.0,8950.0,,8400.0,6650.0,6950.0,7025.0,7025.0,6950.0,7025.0,6950.0,7200.0,6400.0,,6975.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7900.0,8050.0,8250.0,7950.0,,8500.0,,9300.0,9300.0
2022-11-06,10550.0,10550.0,3325.0,3325.0,3225.0,3250.0,3225.0,3150.0,3215.0,,,5825.0,5700.0,5475.0,5825.0,5475.0,,7700.0,6650.0,6800.0,7450.0,7275.0,7675.0,8750.0,,8850.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6900.0,10400.0,,,7150.0,6650.0,6900.0,6800.0,,10700.0,11500.0,10450.0,6825.0,6325.0,,6575.0,,,,6700.0,,2825.0,2900.0,2525.0,2325.0,2750.0,2775.0,,2900.0,2700.0,2840.0,2800.0,1925.0,,1700.0,2735.0,2290.0,2355.0,2650.0,2825.0,2840.0,2430.0,2910.0,2775.0,2350.0,2310.0,2780.0,2320.0,2520.0,9500.0,,9550.0,9650.0,8900.0,8900.0,8850.0,8950.0,,8400.0,6650.0,6950.0,7025.0,7025.0,6950.0,7025.0,6950.0,7200.0,6400.0,,6975.0,7125.0,,8200.0,8100.0,,8150.0,8100.0,,7900.0,8050.0,8250.0,7950.0,,8500.0,,9300.0,9300.0
2022-11-07,10550.0,10550.0,3325.0,3325.0,3225.0,3250.0,3300.0,3150.0,3215.0,,,5900.0,5900.0,5800.0,5925.0,5800.0,,7600.0,6600.0,6750.0,7350.0,7100.0,7575.0,8750.0,,8850.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7075.0,7087.5,6800.0,6600.0,6225.0,6580.0,6475.0,6850.0,10400.0,,,7200.0,6700.0,7000.0,6850.0,,10550.0,11350.0,10250.0,6850.0,6425.0,,6625.0,,,,6700.0,,2825.0,2920.0,2525.0,2325.0,2750.0,2775.0,,2930.0,2700.0,2820.0,2800.0,1925.0,,1700.0,2735.0,2290.0,2400.0,2650.0,2840.0,2840.0,2500.0,2880.0,2775.0,2365.0,2310.0,2780.0,2330.0,2570.0,9200.0,,9200.0,9350.0,8850.0,8900.0,8850.0,8900.0,,8500.0,6800.0,7075.0,7050.0,7025.0,7075.0,7050.0,7075.0,7275.0,6500.0,,7050.0,7245.0,,8200.0,8100.0,,8150.0,8100.0,,7600.0,7700.0,8000.0,7550.0,,8500.0,,9000.0,9000.0
2022-11-08,10550.0,10550.0,3325.0,3325.0,3225.0,3250.0,3300.0,3150.0,3215.0,,,6050.0,6025.0,5925.0,6100.0,5925.0,,7500.0,6550.0,6750.0,7350.0,7075.0,7500.0,8750.0,,8800.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7040.0,7087.5,6800.0,6600.0,6225.0,6600.0,6525.0,6900.0,10300.0,,,7250.0,6900.0,7150.0,7050.0,,10550.0,11350.0,10250.0,6875.0,6450.0,,6675.0,,,,6700.0,,2750.0,2860.0,2525.0,2325.0,2750.0,2800.0,,2930.0,2665.0,2840.0,2900.0,1925.0,,1700.0,2735.0,2290.0,2380.0,2650.0,2780.0,2755.0,2500.0,2910.0,2765.0,2365.0,2310.0,2800.0,2350.0,2585.0,9100.0,,9050.0,9150.0,8825.0,8900.0,8850.0,8900.0,,8500.0,6900.0,7150.0,7100.0,7025.0,7150.0,7100.0,7150.0,7325.0,6600.0,,7100.0,7345.0,,8200.0,8100.0,,8150.0,8100.0,,7500.0,7600.0,7900.0,7450.0,,8500.0,,9000.0,9000.0
2022-11-09,10500.0,10500.0,3325.0,3325.0,3150.0,3200.0,3300.0,3100.0,3125.0,,,6050.0,5950.0,5825.0,6100.0,5825.0,,7500.0,6550.0,6750.0,7350.0,7025.0,7475.0,8700.0,,8750.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7500.0,7275.0,7040.0,7087.5,6800.0,6600.0,6225.0,6630.0,6575.0,6900.0,10300.0,,,7250.0,6900.0,7150.0,7050.0,,10550.0,11350.0,10250.0,6875.0,6450.0,,6675.0,,,,6800.0,,2735.0,2810.0,2525.0,2325.0,2750.0,2780.0,,2850.0,2665.0,2820.0,2900.0,1850.0,,1700.0,2715.0,2290.0,2345.0,2650.0,2740.0,2750.0,2500.0,2900.0,2765.0,2320.0,2340.0,2780.0,2365.0,2585.0,9100.0,,9050.0,9200.0,8825.0,8900.0,8850.0,8900.0,,8600.0,6950.0,7225.0,7100.0,7025.0,7225.0,7100.0,7250.0,7350.0,6650.0,,7150.0,7425.0,,8200.0,8100.0,,8150.0,8100.0,,7400.0,7600.0,7900.0,7350.0,,8500.0,,9000.0,9000.0
2022-11-10,10350.0,10350.0,3325.0,3275.0,3150.0,3150.0,3300.0,3025.0,3075.0,,,6050.0,6025.0,5925.0,6100.0,5925.0,,7400.0,6550.0,6750.0,7350.0,7000.0,7450.0,8600.0,,8600.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7516.666666666667,7275.0,7025.0,7087.5,6800.0,6600.0,6225.0,6605.0,6475.0,6875.0,10300.0,,,7250.0,6900.0,7150.0,7050.0,,10550.0,11350.0,10250.0,6875.0,6450.0,,6675.0,,,,6800.0,,2735.0,2810.0,2525.0,2325.0,2750.0,2780.0,,2850.0,2665.0,2790.0,2900.0,1850.0,,1700.0,2715.0,2290.0,2345.0,2650.0,2740.0,2750.0,2500.0,2820.0,2765.0,2315.0,2340.0,2780.0,2485.0,2585.0,9100.0,,9100.0,9300.0,8825.0,8900.0,8850.0,8900.0,,8600.0,7000.0,7300.0,7100.0,7025.0,7300.0,7100.0,7300.0,7350.0,6750.0,,7200.0,7475.0,,8200.0,8100.0,,8150.0,8100.0,,7400.0,7600.0,7900.0,7350.0,,8500.0,,9000.0,9000.0
2022-11-11,10350.0,10350.0,3325.0,3275.0,3150.0,3150.0,3300.0,3025.0,3075.0,,,6100.0,6000.0,5925.0,6100.0,5925.0,,7400.0,6550.0,6700.0,7350.0,7000.0,7425.0,8600.0,,8600.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7516.666666666667,7275.0,7025.0,7087.5,6800.0,6600.0,6225.0,6580.0,6450.0,6850.0,10300.0,,,7200.0,6800.0,7100.0,7000.0,,10400.0,11250.0,10150.0,6875.0,6425.0,,6625.0,,,,6800.0,,2700.0,2830.0,2525.0,2315.0,2770.0,2780.0,,2850.0,2665.0,2840.0,2900.0,1850.0,,1700.0,2715.0,2290.0,2335.0,2650.0,2750.0,2720.0,2500.0,2875.0,2765.0,2305.0,2340.0,2780.0,2420.0,2585.0,9100.0,,9100.0,9300.0,8800.0,8800.0,8850.0,8900.0,,8550.0,7000.0,7300.0,7100.0,7025.0,7300.0,7100.0,7300.0,7350.0,6750.0,,7200.0,7475.0,,8200.0,8100.0,,8150.0,8100.0,,7400.0,7600.0,7900.0,7400.0,,8500.0,,9000.0,9000.0
2022-11-12,10350.0,10350.0,3325.0,3275.0,3150.0,3150.0,3300.0,3025.0,3075.0,,,6100.0,6000.0,5925.0,6100.0,5925.0,,7400.0,6550.0,6700.0,7350.0,7000.0,7425.0,8600.0,,8600.0,7250.0,7400.0,6700.0,7300.0,7125.0,6966.666666666667,7450.0,7516.666666666667,7275.0,7025.0,7087.5,6800.0,6600.0,6225.0,6580.0,6450.0,6850.0,10300.0,,,7200.0,6800.0,7100.0,7000.0,,10400.0,11250.0,10150.0,6875.0,6425.0,,6625.0,,,,6800.0,,2700.0,2830.0,2525.0,2315.0,2770.0,2780.0,,2850.0,2665.0,2840.0,2900.0,1850.0,,1700.0,2715.0,2290.0,2335.0,2650.0,2750.0,2720.0,2500.0,2875.0,2765.0,2305.0,2340.0,2780.0,2420.0,2585.0,9100.0,,9100.0,9300.0,8800.0,8800.0,8850.0,8900.0,,8550.0,7000.0,7300.0,7100.0,7025.0,7300.0,7100.0,7300.0,7350.0,6750.0,,7200.0,7475.0,,8200.0,8100.0,,8150.0,8100.0,,7400.0,7600.0,7900.0,7400.0,,8500.0,,9000.0,9000.0
